// file containing all PCM Synth Partial waveforms SRX03
"AcPiano3pA L"
"AcPiano3pA R"
"AcPiano3pB L"
"AcPiano3pB R"
"AcPiano3pC L"
"AcPiano3pC R"
"AcPiano3fA L"
"AcPiano3fA R"
"AcPiano3fB L"
"AcPiano3fB R"
"AcPiano3fC L"
"AcPiano3fC R"
"Dyn EP 2 p A"
"Dyn EP 2 p B"
"Dyn EP 2 p C"
"Dyn EP 2 f A"
"Dyn EP 2 f B"
"Dyn EP 2 f C"
"BrightB3 A L"
"BrightB3 A R"
"BrightB3 B L"
"BrightB3 B R"
"BrightB3 C L"
"BrightB3 C R"
"NylonGt4 p A"
"NylonGt4 p B"
"NylonGt4 p C"
"NylonGt4 f A"
"NylonGt4 f B"
"NylonGt4 f C"
"NylnGt4Sld A"
"NylnGt4Sld B"
"NylnGt4Sld C"
"NylnGt4Noiz1"
"NylnGt4Noiz2"
"FlamncGt p A"
"FlamncGt p B"
"FlamncGt p C"
"FlamncGt f A"
"FlamncGt f B"
"FlamncGt f C"
"FlamncGtRoll"
"12StrGt A L"
"12StrGt A R"
"12StrGt B L"
"12StrGt B R"
"12StrGt C L"
"12StrGt C R"
"335Gt p A"
"335Gt p B"
"335Gt p C"
"335Gt f A"
"335Gt f B"
"335Gt f C"
"JazzGt2 p A"
"JazzGt2 p B"
"JazzGt2 p C"
"JazzGt2 f A"
"JazzGt2 f B"
"JazzGt2 f C"
"JzGt3HrmncsA"
"JzGt3HrmncsB"
"JzGt3HrmncsC"
"JzGt3OctaveA"
"JzGt3OctaveB"
"JzGt3OctaveC"
"JzGt3OctSldA"
"JzGt3OctSldB"
"JzGt3OctSldC"
"CleanGt2 A"
"CleanGt2 B"
"CleanGt2 C"
"CleanGt3 A"
"CleanGt3 B"
"CleanGt3 C"
"CrunchGt A"
"CrunchGt B"
"CrunchGt C"
"6StrBs2 p A"
"6StrBs2 p B"
"6StrBs2 p C"
"6StrBs2 f A"
"6StrBs2 f B"
"6StrBs2 f C"
"6StrBs2ThumA"
"6StrBs2ThumB"
"6StrBs2ThumC"
"6StrBs2PullA"
"6StrBs2PullB"
"6StrBs2PullC"
"JazzBs3 p A"
"JazzBs3 p B"
"JazzBs3 p C"
"JazzBs3 f A"
"JazzBs3 f B"
"JazzBs3 f C"
"JzBs3PckMt A"
"JzBs3PckMt B"
"JzBs3PckMt C"
"JzBs3Pops A"
"JzBs3Pops B"
"JzBs3Pops C"
"JzBs3Noise1"
"JzBs3Noise2"
"AcBass2 p A"
"AcBass2 p B"
"AcBass2 p C"
"AcBass2 f A"
"AcBass2 f B"
"AcBass2 f C"
"AcBass2Noiz1"
"AcBass2Noiz2"
"AcBass2Noiz3"
"Gt/BsNz Menu"
"Flute Vib3 A"
"Flute Vib3 B"
"Flute Vib3 C"
"Alto Flute A"
"Alto Flute B"
"Alto Flute C"
"Afro Flute A"
"Afro Flute B"
"Afro Flute C"
"Vox Flute A"
"Vox Flute B"
"Vox Flute C"
"Flute Atk A"
"Flute Atk B"
"Flute Atk C"
"Pan Pipe 2 A"
"Pan Pipe 2 B"
"Pan Pipe 2 C"
"PanPipeBrthA"
"PanPipeBrthB"
"PanPipeBrthC"
"Moceno A"
"Moceno B"
"Moceno C"
"AltoSax2 p A"
"AltoSax2 p B"
"AltoSax2 p C"
"AltoSax2 f A"
"AltoSax2 f B"
"AltoSax2 f C"
"TenrSax2 p A"
"TenrSax2 p B"
"TenrSax2 p C"
"TenrSax2 f A"
"TenrSax2 f B"
"TenrSax2 f C"
"BariSax2 p A"
"BariSax2 p B"
"BariSax2 p C"
"BariSax2 f A"
"BariSax2 f B"
"BariSax2 f C"
"WindsFX Menu"
"Perc.Flute 1"
"Perc.Flute 2"
"Perc.Flute 3"
"Perc.Flute 4"
"Perc.Flute 5"
"Perc.Flute 6"
"Perc.Flute 7"
"AltFlOvrTone"
"AltoSax EFX"
"StudioTp p A"
"StudioTp p B"
"StudioTp p C"
"StudioTp f A"
"StudioTp f B"
"StudioTp f C"
"TpHrmnMt p A"
"TpHrmnMt p B"
"TpHrmnMt p C"
"TpHrmnMt f A"
"TpHrmnMt f B"
"TpHrmnMt f C"
"S-BoreTb p A"
"S-BoreTb p B"
"S-BoreTb p C"
"S-BoreTb f A"
"S-BoreTb f B"
"S-BoreTb f C"
"Brs2K mf A L"
"Brs2K mf A R"
"Brs2K mf B L"
"Brs2K mf B R"
"Brs2K mf C L"
"Brs2K mf C R"
"Brs2K ff A L"
"Brs2K ff A R"
"Brs2K ff B L"
"Brs2K ff B R"
"Brs2K ff C L"
"Brs2K ff C R"
"SoftPad2 A L"
"SoftPad2 A R"
"SoftPad2 B L"
"SoftPad2 B R"
"SoftPad2 C L"
"SoftPad2 C R"
"MG Stringz A"
"MG Stringz B"
"MG Stringz C"
"OB Stringz A"
"OB Stringz B"
"OB Stringz C"
"KidsChoirA L"
"KidsChoirA R"
"KidsChoirB L"
"KidsChoirB R"
"KidsChoirC L"
"KidsChoirC R"
"M+F Ahs A L"
"M+F Ahs A R"
"M+F Ahs B L"
"M+F Ahs B R"
"M+F Ahs C L"
"M+F Ahs C R"
"JazzOoo A"
"JazzOoo B"
"JazzOoo C"
"SteelDrm3p A"
"SteelDrm3p B"
"SteelDrm3p C"
"SteelDrm3f A"
"SteelDrm3f B"
"SteelDrm3f C"
"Kick Menu L"
"Kick Menu R"
"Stdio1K sftL"
"Stdio1K sftR"
"Stdio1K medL"
"Stdio1K medR"
"Stdio1K hrdL"
"Stdio1K hrdR"
"Stdio2K sftL"
"Stdio2K sftR"
"Stdio2K medL"
"Stdio2K medR"
"Stdio2K hrdL"
"Stdio2K hrdR"
"Stdio1SMenuL"
"Stdio1SMenuR"
"Stdio2SMenuL"
"Stdio2SMenuR"
"Stdio3SMenuL"
"Stdio3SMenuR"
"Stdio4SMenuL"
"Stdio4SMenuR"
"CymbalSMenuL"
"CymbalSMenuR"
"Stdio1Ssft1L"
"Stdio1Ssft1R"
"Stdio1Ssft2L"
"Stdio1Ssft2R"
"Stdio1Smed1L"
"Stdio1Smed1R"
"Stdio1Smed2L"
"Stdio1Smed2R"
"Stdio1Shrd1L"
"Stdio1Shrd1R"
"Stdio1Shrd2L"
"Stdio1Shrd2R"
"Stdio1Srim1L"
"Stdio1Srim1R"
"Stdio1Srim2L"
"Stdio1Srim2R"
"Stdio1Sbuz1L"
"Stdio1Sbuz1R"
"Stdio1Sbuz2L"
"Stdio1Sbuz2R"
"Stdio1Sflm L"
"Stdio1Sflm R"
"Stdio1Sstk1L"
"Stdio1Sstk1R"
"Stdio1Sstk2L"
"Stdio1Sstk2R"
"Stdio2Ssft1L"
"Stdio2Ssft1R"
"Stdio2Ssft2L"
"Stdio2Ssft2R"
"Stdio2Smed1L"
"Stdio2Smed1R"
"Stdio2Smed2L"
"Stdio2Smed2R"
"Stdio2Shrd1L"
"Stdio2Shrd1R"
"Stdio2Shrd2L"
"Stdio2Shrd2R"
"Stdio2Srim1L"
"Stdio2Srim1R"
"Stdio2Srim2L"
"Stdio2Srim2R"
"Stdio2Sbuz1L"
"Stdio2Sbuz1R"
"Stdio2Sbuz2L"
"Stdio2Sbuz2R"
"Stdio2Sflm L"
"Stdio2Sflm R"
"Stdio2Sstk1L"
"Stdio2Sstk1R"
"Stdio2Sstk2L"
"Stdio2Sstk2R"
"Stdio3Ssft1L"
"Stdio3Ssft1R"
"Stdio3Ssft2L"
"Stdio3Ssft2R"
"Stdio3Smed1L"
"Stdio3Smed1R"
"Stdio3Smed2L"
"Stdio3Smed2R"
"Stdio3Shrd1L"
"Stdio3Shrd1R"
"Stdio3Shrd2L"
"Stdio3Shrd2R"
